user,text
user1,"Great speech from @politician1 today! Very inspiring #politics"
user2,"@politician2 needs to do better on economic policies"
user3,"Totally agree with @politician1 on environmental issues"
user4,"@politician3 has some interesting points about healthcare"
user5,"Not impressed with @politician2's latest proposal"
user6,"@politician1 and @politician3 should work together more"
user7,"Love the collaboration between @politician1 and @politician4"
user8,"@politician2's stance on education is problematic"
user9,"Great to see @politician3 addressing climate change"
user10,"@politician4 brings fresh perspectives to the debate"